Time(s),SeqNum,Digital0,Digital1,Digital2,Digital3,Analog0,Analog1,Analog2,Analog3,Analog4,Analog5
0.487,7,1,1,1,1,512,1,518,510,0,0
0.488,8,1,1,1,1,510,1,520,509,0,0
0.489,9,1,1,1,1,510,1,516,511,0,0
0.49,10,1,1,1,1,511,2,527,511,0,0
0.491,11,1,1,1,1,512,1,525,511,0,0
0.492,12,1,1,1,1,511,1,519,511,0,0
0.493,13,1,1,1,1,512,1,517,510,0,0
0.494,14,1,1,1,1,513,1,515,506,0,0
0.495,15,1,1,1,1,513,1,513,509,0,0
0.496,0,1,1,1,1,514,1,516,508,0,0
0.497,1,1,1,1,1,511,1,515,508,0,0
0.498,2,1,1,1,1,512,2,505,510,0,0
0.499,3,1,1,1,1,510,1,500,505,0,0
0.5,4,1,1,1,1,510,1,499,507,0,0
0.501,5,1,1,1,1,510,1,497,507,0,0
0.502,6,1,1,1,1,509,1,505,506,0,0
0.503,7,1,1,1,1,512,1,512,508,0,0
0.504,8,1,1,1,1,511,1,521,508,0,0
0.505,9,1,1,1,1,513,1,524,507,0,0
0.506,10,1,1,1,1,511,2,521,508,0,0
0.507,11,1,1,1,1,512,1,524,508,0,0
0.508,12,1,1,1,1,511,1,514,509,0,0
0.509,13,1,1,1,1,511,1,504,508,0,0
0.51,14,1,1,1,1,513,1,495,507,0,0
0.511,15,1,1,1,1,513,0,492,508,0,0
0.512,0,1,1,1,1,512,1,495,510,0,0
0.513,1,1,1,1,1,512,1,506,508,0,0
0.514,2,1,1,1,1,512,2,511,508,0,0
0.515,3,1,1,1,1,510,1,514,508,0,0
0.516,4,1,1,1,1,510,1,514,507,0,0
0.517,5,1,1,1,1,511,1,502,506,0,0
0.518,6,1,1,1,1,510,1,498,509,0,0
0.519,7,1,1,1,1,513,0,493,507,0,0
0.52,8,1,1,1,1,511,1,497,507,0,0
0.521,9,1,1,1,1,511,1,499,509,0,0
0.522,10,1,1,1,1,512,2,505,509,0,0
0.523,11,1,1,1,1,510,1,506,509,0,0
0.524,12,1,1,1,1,512,1,507,509,0,0
0.525,13,1,1,1,1,512,1,508,511,0,0
0.526,14,1,1,1,1,513,1,500,507,0,0
0.527,15,1,1,1,1,511,0,495,510,0,0
0.528,0,1,1,1,1,512,1,497,508,0,0
